Date,AGL.JO,BID.JO,CPI.JO
2021-11-16,58070.5625,31061.271484375,184666.171875
2021-11-17,58907.03515625,31119.224609375,184525.28125
2021-11-18,58193.4296875,31214.142578125,184928.953125
2021-11-19,58975.83984375,30681.58984375,183262.28125
2021-11-22,59895.86328125,30804.484375,184086.625
2021-11-23,60624.21484375,31284.0859375,182110.1875
2021-11-24,60404.0390625,30566.6796875,179113.5625
2021-11-25,59060.375,31208.15234375,180432.484375
2021-11-26,56386.80078125,28774.166015625,170482.375
2021-11-29,57360.88671875,29620.46484375,176292.75
2021-11-30,58461.76953125,30472.759765625,182156.125
2021-12-01,58925.7109375,31079.255859375,186579.65625
2021-12-02,58218.00390625,31369.015625,185353.625
2021-12-03,56518.515625,31675.76171875,185387.59375
2021-12-06,58227.83203125,31540.875,185853.21875
2021-12-07,62028.82421875,31778.67578125,187601.859375
2021-12-08,60990.84765625,31743.705078125,190529.53125
2021-12-09,60843.41015625,31909.568359375,190813.3125
2021-12-10,60942.6875,31488.91796875,189710.171875
2021-12-13,60677.29296875,31232.130859375,191135.0625
2021-12-14,60996.74609375,31061.271484375,192302.140625
2021-12-15,60486.60546875,31395.99609375,197333.1875
2021-12-17,60938.75390625,31866.6015625,199782.234375
2021-12-20,59529.23046875,31748.701171875,197298.203125
2021-12-21,61238.546875,31650.783203125,196560.78125
2021-12-22,61236.58203125,31975.515625,198842.96875
2021-12-23,61858.77734375,31870.6015625,198753.046875
2021-12-24,61974.76171875,31776.6796875,198379.359375
2021-12-28,62867.265625,32300.24609375,198892.921875
2021-12-29,63644.76171875,32812.81640625,201960.5
2021-12-30,64222.7265625,33131.5546875,203271.484375
2021-12-31,64059.55859375,32615.984375,203819.046875
2022-01-03,63396.08203125,32971.69140625,203347.390625
2022-01-04,66072.6015625,33430.30859375,205837.4375
2022-01-05,66617.1484375,33619.15625,208693.203125
2022-01-06,66287.859375,33555.20703125,212658.0625
2022-01-07,67463.4453125,33134.55078125,212913.828125
2022-01-10,67815.3359375,33236.47265625,214730.4375
2022-01-11,66764.5859375,32838.8046875,215700.671875
2022-01-12,70153.7265625,33263.4453125,216005.40625
2022-01-13,69383.109375,32401.162109375,217128.53125
2022-01-14,68596.765625,32219.310546875,217198.46875
2022-01-17,69450.9375,32323.228515625,212931.828125
2022-01-18,69622.9453125,33162.53125,210134.078125
2022-01-19,72758.4921875,33229.47265625,201740.671875
2022-01-20,71491.5,33048.62109375,199062.8125
2022-01-21,69195.375,32761.861328125,201005.265625
2022-01-24,67449.6875,31822.640625,197885.75
2022-01-25,66458.890625,31345.03515625,199845.203125
